category,sub_category,name,lat,lon,address,phone,operator,osm_type,osm_id,data_source
medical,hospital,가톨릭의원,36.2395714,128.3032976,,,,node,368831521,manual
medical,hospital,인동한의원,36.107098,128.421208,,,,node,368831531,manual
medical,hospital,구봉보건진료소,36.3461202,128.2753627,,,,node,368831534,manual
medical,hospital,해평보건지소,36.197651,128.392079,,,,node,368831542,manual
medical,hospital,김재원한의원,36.089624,128.353259,,,,node,368831546,manual
medical,hospital,누가한의원,36.1204999,128.3709806,,,,node,368831553,manual
medical,hospital,산동보건지소,36.169162,128.430257,,,,node,368831557,manual
medical,hospital,성심의원,36.1290061,128.3313931,,,,node,368831569,manual
medical,hospital,청송한의원,36.130842,128.3324,,,,node,368831572,manual
medical,hospital,소망한의원,36.114764,128.425071,,,,node,368831583,manual
medical,hospital,경희한의원,36.120737,128.363465,,,,node,368831593,manual
medical,hospital,인동보건지소,36.106104,128.4190282,,,,node,368831603,manual
medical,hospital,대방보건진료소,36.193228,128.28656,,,,node,368831605,manual
medical,hospital,금산보건진료소,36.160463,128.518811,,,,node,368831622,manual
medical,hospital,에바다언어치료실,36.1112017,128.3401586,,,,node,368831625,manual
medical,hospital,고려한의원,36.130842,128.3324,,,,node,368831632,manual
medical,hospital,에바다언어치료실,36.08079,128.37434,,,,node,368831639,manual
medical,hospital,동방한의원,36.239691,128.302274,,,,node,368831640,manual
medical,hospital,다곡보건진료소,36.286889,128.368523,,,,node,368831643,manual
medical,hospital,연악보건진료소,36.271155,128.159593,,,,node,368831649,manual
medical,hospital,덕촌보건진료소,36.264133,128.253551,,,,node,368831654,manual
medical,hospital,가족사랑한의원,36.093806,128.432909,,,,node,368831662,manual
medical,hospital,가산보건진료소,36.324842,128.295464,,,,node,368831669,manual
medical,hospital,도개보건지소,36.299256,128.331813,,,,node,368831679,manual
medical,hospital,낙산보건진료소,36.253264,128.354977,,,,node,368831681,manual
medical,hospital,구운보건진료소,36.168923,128.367045,,,,node,368831688,manual
medical,hospital,장천보건지소,36.125791,128.496694,,,,node,368831693,manual
medical,hospital,조한의원,36.130842,128.3324,,,,node,368831697,manual
medical,hospital,명성한의원,36.138948,128.417401,,,,node,368831705,manual
medical,hospital,가족사랑한의원,36.122378,128.363295,,,,node,368831708,manual
medical,hospital,배한의원,36.092555,128.432358,,,,node,368831725,manual
medical,hospital,김영준한의원,36.115522,128.425064,,,,node,368831737,manual
medical,hospital,장천한의원의료,36.1267322,128.4947077,,,,node,368831744,manual
medical,hospital,바른등힘찬어깨한의원,36.108185,128.422414,,,,node,368831746,manual
medical,hospital,청룡한의원,36.146797,128.41802,,,,node,368831761,manual
medical,hospital,정우한의원,36.2400207,128.3043149,,,,node,368831783,manual
medical,hospital,예인당한의원,36.0930147,128.4325449,,,,node,368831791,manual
medical,hospital,임봉보건진료소,36.1394867,128.4595475,,,,node,368831794,manual
medical,hospital,상모한의원,36.089006,128.354978,,,,node,368831804,manual
medical,hospital,서부보건진료소,36.215189,128.244572,,,,node,368831811,manual
medical,hospital,무을보건지소,36.262292,128.203115,,,,node,368831815,manual
medical,hospital,송백보건진료소,36.218639,128.479629,,,,node,368831820,manual
medical,hospital,수림한의원,36.121435,128.340659,,,,node,368831823,manual
medical,hospital,서울웰빙의원,36.138195,128.416341,,,,node,368831833,manual
